system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606514957908,1.2923952E7,12923952,5.0,16.621,-2147483648,29900,-2147483648,29900,4253.0,98.0,1602.0,1.098536443043236499050863130833022296428680419921875,0.2731450925563335,43674,11.677276611328125,1915,0,172,15493242877,1.5512324963E10,8,7,1,0.013144249271153659,0.0,0.21226987938970637,0.0,0.05244335695820596,0.0,1.2092088676078268,0.0,2.059499897039158,0.5352112676056338,0.014956644582592944,0.6938775510204082,4.128232206454012,0.6829268292682927,
1606514980908,1.5553912E7,15553912,6.0,20.297,-2147483648,29900,-2147483648,29900,4185.0,98.0,1960.0,0.92408018511079503820582203843514434993267059326171875,0.2035618389280431,53861,11.373672485351563,2363,0,199,19131397491,1.9152315577E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.8461336252295504,0.6097560975609756,
1606515006822,1.7762368E7,17762368,6.0,23.202,-2147483648,30000,-2147483648,30000,4185.0,98.0,2263.0,0.377115473706578219204033075584447942674160003662109375,0.18214513562209494,62526,11.896148681640625,2747,0,207,22124424123,2.214495446E10,8,7,1,0.0036575158016913557,0.0,0.055543706218480524,0.0,0.013225580155294412,0.0,0.24178375120095366,0.0,0.5961531246724044,0.30985915492957744,0.006988612914125385,0.42857142857142855,1.7224560249830978,0.5365853658536586,
1606515012609,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,30000,-2147483648,30000,4185.0,98.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606515017337,2035710.0,2035710,2.0,2.185,-2147483648,30000,-2147483648,30000,4185.0,98.0,161.0,318.89368505532905828658840619027614593505859375,0.4033358939100006,2902,11.9552001953125,3,117,120,1067182022,1.08825161E9,8,7,1,35.64304846141033,0.0,2188.3771484872905,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.0377513044184648,0.9387755102040817,1.6478539458362473,0.926829268292683,
1606515036588,1.2929221E7,12929221,5.0,16.611,-2147483648,30000,-2147483648,30000,4185.0,98.0,1601.0,1.0726468411616953968490406623459421098232269287109375,0.27606054445137723,43669,11.954910278320313,1915,0,171,15484627212,1.5503699796E10,8,7,1,0.01287457038704204,0.0,0.20770192273082852,0.0,0.05119178904027283,0.0,1.1818213762903114,0.0,2.0187618262741753,0.5352112676056338,0.01337822265187601,0.7142857142857143,4.022798180757361,0.6829268292682927,
1606515055862,1.2826332E7,12826332,5.0,16.619001,-2147483648,30100,-2147483648,30100,4185.0,98.0,1602.0,1.130072075140656551184292766265571117401123046875,0.2731450925563335,43674,12.147720336914063,1915,0,172,15510263047,1.5529943715E10,8,7,1,0.01347183233980935,0.0,0.2178138240478317,0.0,0.053972729273234134,0.0,1.242870789802349,0.0,2.1089723635805186,0.5352112676056338,0.015420013715557217,0.6938775510204082,4.257982973225295,0.6829268292682927,
1606515082401,1.8138584E7,18138584,6.0,23.889,-2147483648,30100,-2147483648,30100,4185.0,98.0,2329.0,0.01278332282127505291347002724933190620504319667816162109375,0.170248970177461,64341,12.195266723632813,2827,0,211,22743853436,2.2763925771E10,8,7,1,1.1650791174356335E-4,0.0,0.0017370558002868294,0.0,4.137241931464781E-4,0.0,0.007107786077741614,0.0,0.019235550514581593,0.29577464788732394,2.019475047872398E-4,0.40816326530612246,0.06067068774663805,0.4878048780487805,
1606515105339,1.5764782E7,15764782,6.0,20.228,-2147483648,30000,-2147483648,30000,4185.0,98.0,1962.0,0.92408018511079503820582203843514434993267059326171875,0.2035618389280431,53861,12.158950805664063,2363,0,199,19092645573,1.9111870075E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.8461336252295504,0.6097560975609756,
1606515120740,1937912.0,1937912,4.0,2.158,-2147483648,30200,-2147483648,30200,4185.0,98.0,158.0,1.2515633906306449230072530554025433957576751708984375,0.40883228690209955,2780,12.123443603515625,0,118,118,1019355267,1.03671027E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.03834621949718369,0.9387755102040817,0.8897353733096897,0.9512195121951219,
