Spring_DOUBLE_26_1,Spring_DOUBLE_24_1,Spring_DOUBLE_46_1,Spring_DOUBLE_377_1,Spring_DOUBLE_377_3,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,solutionNumber,parent,tournament Number,fuel use,MAE,test suite execution time,wasFitter,battery level,extra info,immigration time,joules
0.008056941982187574,7.676789211561053,64350.18363847271,1.04664774535727,5.277831281518535,1.066683591857149,8.946209784995938,6131.58646840954,0.007290479424118057,0.000208033584756968,1020,moto g play.N.1019,653,360,0.2492062104208534,6.931,False,54,,-1.0,4.7952
0.008056941982187574,7.676789211561053,64350.18363847271,1.05221558974204,5.277831281518535,1.066683591857149,8.946209784995938,6131.58646840954,0.007729348641289064,0.000208033584756968,1021,moto g play.N.1020,653,347,0.2511034896873606,7.078,True,54,,-1.0,4.62204
0.008056941982187574,7.676789211561053,64350.18363847271,1.05221558974204,5.277831281518535,1.066683591857149,8.946209784995938,6131.58646840954,0.007729348641289064,0.000208033584756968,1021,moto g play.N.1020,654,369,0.2511034896873606,7.058,False,54,,-1.0,4.915080000000001
0.008056941982187574,12.17866190352138,67066.73069276685,1.05221558974204,5.277831281518535,1.066683591857149,7.56491300119196,4480.214306904299,0.007729348641289064,0.000208033584756968,1023,moto g play.N.1021,654,346,0.2511034896873606,7.065,True,54,,-1.0,4.60872
0.008056941982187574,12.17866190352138,67066.73069276685,1.05221558974204,5.277831281518535,1.066683591857149,7.56491300119196,4480.214306904299,0.007729348641289064,0.000208033584756968,1023,moto g play.N.1021,655,364,0.2511034896873606,7.113,False,54,,-1.0,4.84848
0.008056941982187574,12.17866190352138,67066.73069276685,1.051648856716692,5.277831281518535,1.066683591857149,7.56491300119196,4480.214306904299,0.006507474487174254,0.000208033584756968,1024,moto g play.N.1023,655,358,0.2509311235588223,7.052,True,54,,-1.0,4.76856
0.008056941982187574,12.17866190352138,67066.73069276685,1.051648856716692,5.277831281518535,1.066683591857149,7.56491300119196,4480.214306904299,0.006507474487174254,0.000208033584756968,1024,moto g play.N.1023,656,346,0.2509311235588223,7.055,True,54,,-1.0,4.60872
0.008056941982187574,14.04116652824804,67066.73069276685,1.051648856716692,5.277831281518535,1.066683591857149,10.37877132798448,4480.214306904299,0.006507474487174254,0.000208033584756968,1025,moto g play.N.1024,656,352,0.2509311235588223,7.109,False,54,,-1.0,4.68864
0.008056941982187574,12.17866190352138,67066.73069276685,1.051648856716692,5.277831281518535,1.066683591857149,7.56491300119196,4480.214306904299,0.006507474487174254,0.000208033584756968,1024,moto g play.N.1023,657,353,0.2509311235588223,7.11,False,54,,-1.0,4.70196
0.008056941982187574,12.17866190352138,67066.73069276685,1.051648856716692,5.277783394096049,1.066683591857149,7.56491300119196,4480.214306904299,0.006507474487174254,0.0001346692536115709,1027,moto g play.N.1024,657,348,0.2509286832157099,7.085,True,54,,-1.0,4.63536
0.008056941982187574,12.17866190352138,67066.73069276685,1.051648856716692,5.277783394096049,1.066683591857149,7.56491300119196,4480.214306904299,0.006507474487174254,0.0001346692536115709,1027,moto g play.N.1024,658,369,0.2509286832157099,7.021,False,54,,-1.0,4.915080000000001
0.008056941982187574,7.575980055833907,67066.73069276685,1.051648856716692,5.277785420588089,1.066683591857149,5.190004780728736,4480.214306904299,0.006507474487174254,0.0001586733103831027,1028,moto g play.N.1027,658,350,0.2509287864865595,7.117,True,54,,-1.0,4.662
0.008056941982187574,7.575980055833907,67066.73069276685,1.051648856716692,5.277785420588089,1.066683591857149,5.190004780728736,4480.214306904299,0.006507474487174254,0.0001586733103831027,1028,moto g play.N.1027,659,370,0.2509287864865595,7.011,False,53,,-1.0,4.9284
0.008056941982187574,7.575980055833907,55777.28869093442,1.046359356588646,5.277785420588089,1.066683591857149,5.190004780728736,4595.847367286375,0.005829413312266121,0.0001586733103831027,1030,moto g play.N.1028,659,331,0.2491152393841649,6.916,True,53,,-1.0,4.40892
0.008056941982187574,7.575980055833907,55777.28869093442,1.046359356588646,5.277785420588089,1.066683591857149,5.190004780728736,4595.847367286375,0.005829413312266121,0.0001586733103831027,1030,moto g play.N.1028,660,359,0.2491152393841649,6.905,False,53,,-1.0,4.78188
0.008056941982187574,7.575980055833907,53299.67090081613,1.046359356588646,5.277792706913161,1.066683591857149,5.190004780728736,2849.343462337263,0.005829413312266121,0.0001176689089908933,1032,moto g play.N.1030,660,357,0.249115612564915,6.88,True,53,,-1.0,4.755240000000001
0.008056941982187574,7.575980055833907,53299.67090081613,1.046359356588646,5.277792706913161,1.066683591857149,5.190004780728736,2849.343462337263,0.005829413312266121,0.0001176689089908933,1032,moto g play.N.1030,661,342,0.249115612564915,6.911,True,53,,-1.0,4.55544
0.008056941982187574,7.575980055833907,50261.27728394554,1.046359356588646,5.277792706913161,1.066683591857149,5.190004780728736,3365.978609275342,0.005829413312266121,0.0001176689089908933,1034,moto g play.N.1032,661,364,0.249115612564915,6.911,False,53,,-1.0,4.84848
0.008056941982187574,7.575980055833907,53299.67090081613,1.046359356588646,5.277792706913161,1.066683591857149,5.190004780728736,2849.343462337263,0.005829413312266121,0.0001176689089908933,1032,moto g play.N.1030,662,345,0.249115612564915,6.877,True,53,,-1.0,4.5954
0.008056941982187574,0.01123630348793814,53299.67090081613,1.046409158789698,5.277792706913161,1.066683591857149,5.898522917360619,2849.343462337263,0.006110567700303121,0.0001176689089908933,1035,moto g play.N.1032,662,430,0.5038361940369639,8.75,False,53,,-1.0,5.7276
0.008056941982187574,7.575980055833907,53299.67090081613,1.046359356588646,5.277792706913161,1.066683591857149,5.190004780728736,2849.343462337263,0.005829413312266121,0.0001176689089908933,1032,moto g play.N.1030,663,356,0.249115612564915,6.934,True,53,,-1.0,4.741919999999999
0.008056941982187574,7.575980055833907,53299.67090081613,1.047415069482765,5.277792706913161,1.066683591857149,5.190004780728736,2849.343462337263,0.004896798122946387,0.0001176689089908933,1038,moto g play.N.1032,663,363,0.2494397822429697,6.92,False,53,,-1.0,4.83516
0.008056941982187574,7.575980055833907,53299.67090081613,1.046359356588646,5.277792706913161,1.066683591857149,5.190004780728736,2849.343462337263,0.005829413312266121,0.0001176689089908933,1032,moto g play.N.1030,664,350,0.249115612564915,6.94,True,53,,-1.0,4.662
